Field_1|Field_2|Field3|Topic|Family|pk|DOC|Author|Availability|AvailableDate|Binding|Cover|CrossReference|Description|ExtraDescription|Format|ISBN|ISSN|KeyPhrases|ListID|Note|Price|PriceNonUS|Publisher|QuantityPrice|StandingOrderCode|StatusDate|StockNumber|Subject Bibliography|SuDocsClass|Title|Unit|UnitNonUS|Weight|YearPages|Hyperlink
||||||govtprintingoffice||0. superseded|03-21-01|self cover / stitch|paper|021-318-00204-6|SB-318. Subject Bibliography 318. March 6, 2001. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item 552|||||||Supersedes GP 22/2:315/2000, S/N 021-318-00003- 5. Superseded by GP 3.22/2:315/2002, S/N 021-31- 00204-6.|0.00||Government Printing Office, Superintendent of Documents|||5/1/2002|021-318-00103-1|925||Pacific Rim|each||2.00|2001: 7 p.|
||||||govtprintingoffice||0. out of print GPO|05-27-98|perfect binding|paper||No. 1255. Contains collective records for serial publications which are issued 3 or more times per year. Also lists title changes and discontinued periodicals. Includes entries 98-1 to 98-1013. p|||||Periodicals Supplement, Periodicals, Bibliographies||NB1266|35.00||Government Printing Office, Superintendent of Documents, Library Programs Service, Library Division, Cataloging Branch|discount||12-06-06|021-000-00172-4|141GE 150HS 201TE|GP 3.8/8:998|Monthly Catalog of United States Government Publications, Periodicals Supplement for 1998|each||1.62|1998: 366 p.|
||||||govtprintingoffice||0. out of print GPO|01-22-97|perfect binding|paper||GC92(4)-4. 1992 Census of Governments, V. 4, Government Finances, No. 4, Finances of Municipal and Township Governments. Provides statistics on the revenue, expenditure, debt, and financial assets of municipal and township governments. Item 0148-A.|||0-16-061066-4||GC92 4 4, Local Finance, Urban Areas||NB1258|25.00||Commerce Dept., Economics and Statistics Administration, Census Bureau, Economic Planning and Coordination Division, and Governments Division|discount||7/12/2001|003-024-08813-4|900|C 3.145/4:992/V.4/NO.4|Census of Governments, 1992, V. 4, Government Finances, No. 4, Finances of Municipal and Township Governments|each||1.18|1997: 226 p.|
||||||govtprintingoffice||0. out of print GPO|11-29-01|casebound|cloth||Prepared jointly with Her Majesty's Nautical Almanac Office, Royal Greenwich Observatory, England. Designed in consultation with other astronomers of the many countries. Provides current, accurate astronomical data for use in the making and reduction of o|||0-16-050969-6|0737-6421|Almanacs, Astronomy, Geodesy, Surveying, Navigation|||54.00||Defense Dept., Naval Observatory, Nautical Almanac Office|discount|ZAENA|2/13/2003|008-054-00191-2|029DR 222BM||Astronomical Almanac for the Year 2003: Data for Astronomy, Space Sciences, Geodesy, Surveying, Navigation and Other Applications|each||2.37|2001: 532 p.; ill.|
||||||govtprintingoffice|Deeter, David P.|1. in stock / whse and/or retail / price|04-07-00|casebound|cloth||Textbook of Military Medicine, Pt. 3, Disease and the Environment. Specialty editors: David P. Deeter and Joel C. Gaydos. Dedicated to the practice of occupational medicine within the United States Army.|||0-16-059136-8||Disease and the Environment, Textbooks of Military Medicine, Pt. 3, Occupational Safety and Health, Job Safety, Health of Workers, Safety Regulations, Accident Prevention, Occupational Diseases, TMM||Series is also cited as: Textbook of Military Medicine. NB1277|65.00||Defense Dept., Army, Office of the Surgeon General, Borden Institute|discount||03-07-07|008-023-00116-2|119TN 213VP||Textbooks of Military Medicine, Pt. 3, Disease and the Environment: Occupational Health, The Soldier and the Industrial Base|each||5.43|1993: 643 p.; ill.|
||||||govtprintingoffice||0. out of print GPO||perfect binding|paper||This publication is ONLY in the custody of the GPO Exclusive Consigned Sales Agent, the UNITED STATES ARMY CORPS OF ENGINEERS, INSTITUTE FOR WATER RESOURCES, NAVIGATION DATA CENTER, (CEWRC-IRW-N), 7701 TELEGRAPH ROAD, CASEY BUILDING, ALEXANDRIA, VA 22315-|||0-16-061260-8||Harbors, Philadelphia, Pennsylvania, Camden, New Jersy, Wilmington, Delaware, Delaware River||EXCLUSIVE CONSIGNED SALES AGENT PUBLICATION. If the order is received at GPO, GPO will accept appropriate payment, certify money, and route order to t|25.00||Defense Dept., Army, Corps of Engineers|discount||1/15/1998|008-021-00137-2|900||Port Series No. 8: The Ports of Philadelphia, Pennsylvania: Camden, New Jersey: and Wilmington, Delaware, and Ports on the Delaware River|each||1.00||
||||||govtprintingoffice|Whitehorne, Joseph W. A.|1. in stock / whse and/or retail / price|04-24-08|perfect binding|paper||CMH 70-68-1. Chronicles the Inspector General's Department and its corps of inspectors during the growth years from 19903 to 1939. This period was a time of revolutionary reform and reorganization , with the department shifting to the detail system and ad||||||||37.00||Defense Dept., Army, Center of Military History|discount|ZZZZZ|11-20-09|008-029-00348-1|||The Inspectors General of the United States Army, 1903-1939 (Paperback)|each||2.31||
horticulture||||||govtprintingoffice|Johnson, Charles Grier, Jr.|0. out of print GPO|04-27-98|specialty item|||R6-NR-ECOL-TP-04-98. Provides a handy reference for the person engaged in identifying vascular plants commonly found in the intermountain Pacific Northwest. Contains a selection of 200 trees, shrubs, forbs, grasses and sedges. Presented in user friendly f||looseleaf|0-16-060819-8||R6 NR ECOL TP 04 98, Trees, Shrubs, Grasses, Sedges, Forbs, Plants, Botany, Plant Ecology||NB1266|23.00||Agriculture Dept., Forest Service, Pacific Northwest Region|discount||2/25/2003|001-000-04647-1|086DP|A 13.66/18:04-98|Common Plants of the Inland Pacific Northwest|each||1.50|1998: 399 p.; ill.|
||||||govtprintingoffice||0. out of print GPO|08-02-01|perfect binding|paper||Examines the impact of reduced production orders and lower revenues on the high performance explosives and explosive components industries.|||||Explosives, National Security||NB1285|23.00||Commerce Dept., Bureau of Export Administration, Office of Strategic Industries and Economic Security, Strategic Analysis Division|discount||9/26/2003|003-009-00714-3|900||National Security Assessment of the High Performance Explosives and Explosive Components Industries: A Report for the United States Department of the Navy, June 2001|each||1.12|2001: 168 p.; ill.|
||||||govtprintingoffice||1. in stock / whse and/or retail / price|12-13-00|paper cover / stitch|paper||RI 38-126. Explains what the annuitant should do when various circumstances in his or her life change. Applies only to persons retired under the Civil Service Retirement System (CSRS) or the Federal Employees Retirement System (FERS) and their survivors.|||0-16-050563-1||RI 38 126, Retirement, Insurance, Civil Service Retirement System, Federal Employees Retirement System||NB1281|1.25||Office of Personnel Management, Retirement and Insurance Service|discount||05-09-08|006-000-01510-7|285OB 294LT 300NB||Life Events and Your Retirement and Insurance Benefits (for Annuitants)|each||0.12|1998: 10 p.; revised ed.|
||||||govtprintingoffice||0. superseded|06-11-98|self cover / stitch|paper|006-000-01507-7|RI 90-8. February 1998 edition. Measures 9 x 4 in. FERS stands for: Federal Employees Retirement System. Written for individuals who have retired under FERS. Useful for employees and former employees planning to retire under FERS in the future.|||0-16-049455-9||RI 90 8, Federal Employees, Federal Employees Retirement System, FERS, Retirement, Government Employees, Retirement Income, Annuities||NB1266|2.00||Office of Personnel Management, Retirement and Insurance Service|discount||3/29/2000|006-000-01451-8|285NI 300ME|PM 1.10:RI 90-8/998|Information for FERS Annuitants|each||0.18|1998: 44 p.|
||||||govtprintingoffice|Fischer, Audrey|0. out of print GPO|06-30-99|perfect binding|paper||Annual Report of the Librarian of Congress for the Fiscal Year Ending September 30, 1998. Managing Editor, Audrey Fischer. L.C. card 6-6273. L.C. ISBN 0-8444-0985-5.||||0083-1565|Annual Report of the Librarian of Congress, Annual Reports, Library of Congress, Library of Congress||NB1273|9.00||Library of Congress|discount||3/24/2000|030-000-00282-2|118KB 126CD 150HB|LC 1.1:998|Librarian of Congress Annual Report, 1998|each||0.81|1999: 198 p.|
||||||govtprintingoffice|Schappert, Susan M.|0. out of print GPO|11-17-99|paper cover / stitch|paper||DHHS Publication PHS 2000-1714. Vital and Health Statistics, Series 13, Data From the National Health Care Survey, No. 143. Describes ambulatory care visits in the United States across three ambulatory care settings: physician offices; hospital outpatient|||||HHS Publication PHS 2000 1714, Vital and Health Statistics, Series 13, No. 143, Data From the National Health Care Survey, Health Surveys, Physicians, Hospitals, Medical Care, Emergency Medical Services, National Health Care Survey||NB1275|7.00||Health and Human Services Dept., Centers for Disease Control and Prevention, National Center for Health Statistics, Division of Health Care Statistics|discount|ZHS12|9/4/2003|017-022-01472-6|119BA 121NE|HE 20.6209:13/143|Ambulatory Care Visits to Physician Offices, Hospital Outpatient Departments, and Emergency Departments: United States, 1997|each||0.31|1999: 43 p.; ill.|
||||||govtprintingoffice|Kenney, George C.|0. out of print GPO|07-03-97|perfect binding|paper||Contains General George Churchill Kenney's memoir of his career as commander of the Fifth Air Force in the Pacific Theater during World War 2. General Kenney lived from 1889-1977. Originally published by Duell, Sloan, and Pearce in 1949. L.C. card 87-2203|||0-16-061372-8||Air Force History and Museums Program, Biographies, Pacific War, Personal History, Military History, Air Force History, Fifth Air Force, World War 2||NB1261|52.00||Defense Dept., Air Force, Air Force History and Museums Program|discount||05-04-09|008-070-00721-5|070JP||General Kenney Reports: A Personal History of the Pacific War|each||2.75|1949: 612 p.; ill. 1997-repr.|
||||||govtprintingoffice||0. out of print GPO||perfect binding|paper||This publication is ONLY in the custody of the GPO Exclusive Consigned sales agent, the UNITED STATES ARMY CORPS OF ENGINEERS, INSTITUTE FOR WATER RESOURCES, NAVIGATION DATA CENTER, (CEWRC-IWR-N), 7701 TELEGRAPH ROAD, CASEY BUILDING, ALEXANDRIA, VA 22315-|||||Harbors, New York, Buffalo, New York, Oswego, New York, Ogdensburg||Supersedes S/N 008-021-00098-8. EXCLUSIVE CONSIGNED SALES AGENT PUBLICATION. If the order is received at GPO, GPO will accept appropriate payment, cer|18.00||Defense Dept., Army, Corps of Engineers|discount||10/4/2001|008-021-00154-2|900||Port Series NR. 41: Ports of Buffalo, Rochester, Oswego, and Ogednsburg, New York (Revised 2001)|each||0.50||
||||||govtprintingoffice||0. superseded|03-27-98|specialty item||008-000-00736-5|JEL CD-ROM. December 1997. Known as JEL. Developed by OC incorporated for the J-7, Joint Staff. Contains: Approved Joint Publication, Joint Doctrine Awareness Materials; Select Service Publications; Joint and Service Vision Documents; Training and Researc||multimedia|0-16-061128-8||JEL, Electronic Products, Compact Disc Read Only Memory (CD-ROM), Military Science, Defense Policy||System requirements: IBM compatible 486/33 PC (Pentium PC recommended); 8M RAM; 5M hard disk space; MS Windows 3.1; and VGA monitor. NB1265|14.00||Defense Dept., Joint Staff, J-7|discount||2/10/2000|008-000-00723-3|131EB 150HB 314IH|D 5.21:997-2|Joint Electronic Library, 1997, December (CD- ROM)|each||0.31|1998: CD-ROM and booklet in plastic case|
||||||govtprintingoffice|Kozak, Lola Jean|0. out of print GPO|12-08-99|paper cover / stitch|paper||DHHS Publication PHS 2000-1715. Vital and Health Statistics, Series 13, Data From the National Health Care Survey, No. 144. Presents national estimates of the use of non-Federal short-stay hospitals in the United States during 1997 and selected trend data|||||HHS Publication PHS 2000 1715, Vital and Health Statistics, Series 13, No. 144, Data From the National Health Survey, National Health Survey, Hospitals, Hospital Utilization, Hospital Patients, Medical Centers, Hospital Discharge Survey||NB1275|7.00||Health and Human Services Dept., Centers for Disease Control and Prevention, National Center for Health Statistics|discount|ZHS13|9/4/2003|017-022-01474-2|900|HE 20.6209/7:997|National Hospital Discharge Survey: Annual Summary 1997|each||0.43|1999: 50 p.|
||||||govtprintingoffice||0. out of print GPO|10-30-98|paper cover / stitch|paper||Issued in looseleaf form. Spine title reads: November 1998 NIH Telephone and Service Directory. Includes personnel and organizational listings for the National Institutes of Health. Contains revised NIH Campus Shuttle Schedules. Binder is not included.||looseleaf|0-16-061569-8||NIH Telephone and Service Directory, National Library of Medicine, Directories, Telephone Directories, National Institutes of Health||NB1269|41.00||Health and Human Services Dept., National Institutes of Health|discount||1/18/2000|017-040-00545-8|900|HE 20.3037:998|National Institutes of Health Telephone and Service Directory, 1998, November|each||2.62|1998: 502 p.; ill.|
||||||govtprintingoffice||0. out of print GPO||paper cover / stitch|paper||DHHS Publication NIH 98-3738. Explains how the heart changes to adapt to the body as it ages. Item 0507.|||0-16-049753-1||HHS Publication NIH 98 3738, What Scientists Are Learning About Age and the Cardiovascular System, Heart Disease, Cardiovascular System, Heart, Exercise, Cardiovascular Diseases, Physical Fitness, Health|||7.00||Health and Human Services Dept., Public Health Service, National Institutes of Health, National Institute on Aging|discount||9/10/2003|017-040-00546-6|008HE 039JE 119FA|HE 20.3002:H 35/3|Hearts and Arteries: What Scientists Are Learning About Age and the Cardiovascular System|each||0.31|1998: 35 p.; ill.|
||||||govtprintingoffice||0. out of print GPO|02-20-01|perfect binding|paper||NIMA Pub 193. 8th Edition. Corrected to 20 May 2000, including Notice to Mariners No. 21 of 2000. Covers the harbors, coasts, and waters of the Skagerrak and Kattegat. Provides information that cannot be shown graphically on nautical charts and is not rea|||0-16-061511-9||National Imagery and Mapping Agency Publication 193, NSN 9642014009052, NSN 7644014665954, Compact Disc Read Only Memory (CD-ROM), Electronic Products, Skagerrak, Kattegat, Maps, Ships, Sailing||NB1282|26.00||Defense Dept., National Imagery and Mapping Agency|discount||9/30/2003|008-000-00774-8|029PN 060HS 314NH|D 5.317/3:193/2000|Sailing Directions (Enroute): Skagerrak and Kattegat, 2000|each||1.31|2000: 200 p.; ill. and CD-ROM in pocket.|
||||||govtprintingoffice||0. out of print GPO||specialty item|||||looseleaf||||||9.00||Interior Dept.|discount||02-23-07|024-001-03620-7|||101 Common Mosses, Liverworts and Lichens of the Olympia National Park|each||0.43||
||||||govtprintingoffice|Johnk, Robert T.|0. out of print GPO|07-02-98|paper cover / stitch|paper||NIST Technical Note 1392. Describes the procedures for measuring the receiving transfer function of broadband electric-field sensors using direct-pulse, time-domain methods.|||0-16-056713-0||NIST Technical Note 1392, Weights and Measures, D Dot Sensors, Report on Time Domain Calibrations||NB1267|3.00||Commerce Dept., Technology Administration, National Institute of Standards and Technology, Electronics and Electrical Engineering Laboratory, Electromagnetic Fields Division|discount||3/29/2000|003-003-03544-1|900||Time-Domain Calibrations of D-Dot Sensors|each||0.31|1998: 36 p.; ill.|
||||||govtprintingoffice|Barnes, P. Yvonne|0. out of print GPO|07-20-98|perfect binding|paper||NIST Special Publication 250-48. NIST Measurement Services. By P. Yvonne Barnes, et al. Describes the instrumentation, standards, and techniques used to measure spectral reflectance over the ultraviolet, visible, and near infrared wavelengths for Standard|||0-16-060873-2||NIST Special Publication 250 48, NIST Measurement Services, Optical Properties of Materials, Reflectance Standards, Wavelength Standards||NB1267|14.00||Commerce Dept., Technology Administration, National Institute of Standards and Technology, Physics Laboratory, Optics Technology Division|discount||3/29/2000|003-003-03545-9|900|C 13.10:250-48|Spectral Reflectance|each||0.87|1998: 261 p.; ill.|
||||||govtprintingoffice|Siegwarth, J. D.|0. out of print GPO|07-20-98|paper cover / stitch|paper||NIST Technical Note 1501. Describes the design and testing of vortex shedding flowmeters used to measure liquid and gas flows to the maximum velocities found in the ducts of the Space Shuttle main engines.|||0-16-060874-0||NIST Technical Note 1501, Space Shuttle, Hydrogen, Rockets (Aeronautics)||NB1267|3.00||Commerce Dept., Technology Administration, National Institute of Standards and Technology, Chemical Science and Technology Laboratory, Physical and Chemical Properties Division|discount||3/29/2000|003-003-03546-7|900||Metering of Fluids at High Velocities With Vortex Shedding Flowmeters|each||0.31|1998: 40 p.; ill.|
||||||govtprintingoffice|Kretchik, Walter|1. in stock / whse and/or retail / price|08-24-99|specialty item|||By Walter E. Kretchik, et al. Contains a concise account of the United States Army's role in Operation Uphold Democracy in Haiti in September 1994. Its stated objectives included the return to office of the democratically elected president of that country|||||Concise History of the United States Army in Operation Uphold Democracy, Operation Uphold Democracy, Invasion, Intervention, Intervasion, Military Operations, Peacekeeping Forces, Defense Policy, Military Intervention||The price of this item has been reduced. This reduced price is reflected in the price field. No discounts are available for this item. Special value p|5.50||Defense Dept., Army, Army Command and General Staff College|no discount||03-14-02|008-020-01465-6|043CG 131 314|D 110.13:H 62/CD|Invasion, Intervention, 'Intervasion': A Concise History of the United States Army in Operation Uphold Democracy (CD-ROM)|each||0.31|1999: CD-ROM in plastic case.|
||||||govtprintingoffice|Laird, Robbin F.|0. out of print GPO|05-13-99|perfect binding|paper||McNair Paper No. 60. In the context of the restructuring of the American society and expanded global reach of the United States, the American military has undergone a Revolution in Military Affairs (RMA). This monograph seeks to explain this RMA to the Un|||0-16-067757-2|1071-7552|McNair Paper No. 60, Military Operations, Peacekeeping Forces, Defense Policy, Military Agreements, Collective Security Agreements, International Affairs||The price of this item has been reduced. This reduced price is reflected in the price field. No discounts are available for this item. Special value p|2.00||Defense Dept., National Defense University, Institute for National Strategic Studies|no discount||10/20/2005|008-020-01466-4|153TH|D 5.416:60|Revolution in Military Affairs: Allied Perspectives|each||0.50|1999: 109 p.|
||||||govtprintingoffice|Mohr, P. J.|0. out of print GPO|05-16-01|self cover / stitch|paper||NIST Special Publication 961. NIST SP 961 (Jan/2001). Lists the symbol, numerical value, and unit for various quantities.|||0-16-061663-8||NIST Special Publication 961, Charts, Posters, Physics, Chemistry, Constants, Constant Data||NB1284|2.00||Commerce Dept., Technology Administration, National Institute of Standards and Technology, Physics Laboratory, Standard Reference Data Program|discount||7/7/2003|003-003-03680-3|057VP 290BH||Codata Recommended Values of the Fundamental Constants of Physics and Chemistry, 1998 (Wall Chart)|each||0.06|2001: Sheet.|
||||||govtprintingoffice||0. out of print GPO||perfect binding|paper||||||||||0.00||Interior Dept.|discount||1/29/2002|024-010-00723-1|116||Status and Trends of Wetlands in the Conterminous United States, 1987-1997|each||2.00||
||||||govtprintingoffice||0. out of print GPO|06-12-01|perfect binding|paper||NIMA Pub 183. 5th edition. Corrected to 14 April 2001, including Notice to Mariners No. 15 of 2001. Covers the harbors, coasts, and waters of the Northern Coast of Russia. Provides information that cannot be shown graphically on nautical charts and is not|||0-16-061713-8||National Imagery and Mapping Agency Publication 1833, NSN 7642014009050, NSN 7644014665951, Compact Disc Read Only Memory (CD-ROM), Electronic Products, South America, Northern Coast of Russia, Russia, Navigational Aids, Sailing||Supersedes D 5.317/3:183/997, S/N 008-000-00809- 4. System requirements, PC: 486 Processor; 16M RAM, 24M RAM for NT; 10M free disk space; Windows 95,|23.00||Defense Dept., National Imagery and Mapping Agency|discount||9/26/2003|008-000-00850-7|900||Sailing Directions (Enroute): Northern Coast of Russia, 2001|each||1.12|2001: 164 p.; ill. and CD-ROM in pocket.|
||||||govtprintingoffice|Zajtchuk, Russ|0. out of print GPO|04-07-00|casebound|cloth||Textbook of Military Medicine, Pt. 4, Surgical Combat Casualty Care. Specialty editors: Russ Zajtchuk and Christopher M. Grand. Describes combat casualty care for the military anesthesia provider.|||0-16-059137-6||Surgical Combat Casualty Care, Anesthesia and Perioperative Care of the Combat Casualty, Anesthetics, Surgery, Medicine, Textbooks of Military Medicine, Sedatives, Military Medicine, TMM||Series is also cited as: Textbook of Military Medicine. NB1277|30.50||Defense Dept., Army, Office of the Surgeon General, Borden Institute|discount||12-15-10|008-023-00117-1|119TN||Textbooks of Military Medicine, Pt. 4, Surgical Combat Casualty Care: Anesthesia and Perioperative Care of the Combat Casualty|each||7.50|1995: 931 p.; ill.|
|||||oohcover.gif|govtprintingoffice||0. out of print GPO|04-18-02|casebound|cloth||Labor Statistics Bureau Bulletin 2540. Describes about 250 occupations in detail. Covers what workers do on the job, working conditions, the training and education needed, earnings, and expected job prospects. Also includes summary information on 116 addi|||0-16-051024-4||Labor Statistics Bureau Bulletin 2540, Occupations, Job Hunting, Vocational Guidance, Employment||Supersedes S/N 029-001-03330-3. To be superseded by S/N 029-001-03416-4. NB1289|57.00||Labor Dept., Labor Statistics Bureau|discount|ZOOHC|8/26/2004|029-001-03376-1|900||Occupational Outlook Handbook, 2002-03 Edition (Clothbound)|each||4.43|2002: 653 p.; ill.|
||||||govtprintingoffice||1. in stock / whse and/or retail / price||specialty item|||Published in cooperation with the Sunday Times of London on the occasion of the Bicentennial of the American Revolution. Poster gives detailed information about the British Army in America during the Revolutionary War. Item 646-S.||poster, flat|0-16-003430-2||Posters, Soldiers, American Revolution, Military History||1979 SL 28Y9 Mar. 1982 SL 7Q2 QC011Y2 QC012V3 QC013R3 QC014N3 QC021Y4|12.50||Interior Dept., National Park Service|discount||07-23-03|024-005-00636-2|057AS 144HP|I 29.20:B 77/775-83|British Redcoat, 1775-1783|each||0.37|1976: Poster, 29x39 in.|
||||||govtprintingoffice|Abma, Joyce C.|0. out of print GPO|05-08-01|paper cover / stitch|paper||DHHS Publication PHS 2001-1997. Vital and Health Statistics, Series 23, Data From the National Survey of Family Growth, No. 21. By Joyce C. Abma and Freya L. Sonenstein. Presents national estimates of sexual experience, contraceptive use, and selected asp|||0-16-050771-5||HHS Publication PHS 2001 1997, Vital and Health Statistics Series 23, No. 21, Data From the National Survey of Family Growth, Youth, Teenage Pregnancy, Contraceptives, Birth Control, Sexual Abstinence||NB1284|11.00||Health and Human Services Dept., Centers for Disease Control and Prevention, National Center for Health Statistics|discount|ZHS23|2/13/2003|017-022-01505-6|121|HE 20.6209:23/21|Sexual Activity and Contraceptive Practices Among Teenagers in the United States, 1988 and 1995|each||0.56|2001: 85 p.; ill.|
||||||govtprintingoffice||0. out of print GPO|11-08-96|perfect binding|paper||Agriculture Department EM-7720-103. Publication measures 9 x 6 in. Presents the standard specifications for construction and maintenance of trails in the United States.|||0-16-060833-3||Agriculture Department EM 7720 103, Engineering Manual 7720 103, Trails, Forests and Forestry, National Parks, National Scenic Trails, National Historic Trails, Historic Sites||NB1257|10.00||Agriculture Dept., Forest Service, Engineering Staff|discount||05-05-06|001-001-00661-1|017JE 231JS 308VA|A 13.84/2:7720-103|Standard Specifications for Construction and Maintenance of Trails|each||0.43|1996: 110 p.|
||||||govtprintingoffice||0. out of print GPO|01-05-95|self cover / stitch|paper||FAR Pt. 67. Looseleaf for updating.|||0-16-062369-3||Medical Care, Standards, Aviation||DSSL 95-0019-P 01/20/95. NB1246|1.00||Transportation Dept., Federal Aviation Administration|discount||8/3/2000|050-007-01065-6|012IU||Federal Aviation Regulations: Pt. 67, Medical Standards and Certification, Ch. 1, September 9, 1994|each||0.18|1994: 14 p.; looseleaf.|
||||||govtprintingoffice||0. out of print GPO|09-23-99|perfect binding|paper||DHHS Publication HCFA 10129. Contains the annual compilation of available Medicaid summary statistics for Fiscal Year 1997. Provides selected summary statistical data generated from a variety of Medicaid data sources. Compiles national Medicaid State prog|||0-16-050146-6||HHS Publication HCFA 10129, Program and Financial Statistics, Fiscal Year 1997, Health Insurance, Medicaid, Medical Care, National Health Insurance, Social Security, Health Policy||NB1274|18.00||Health and Human Services Dept., Health Care Financing Administration, Center for Medicaid and State Operations|discount||3/2/2001|017-060-00617-0|900|HE 22.115:997|Medicaid Statistics: Program and Financial Statistics, Fiscal Year 1997|each||1.06|1999: 161 p.|
||||||govtprintingoffice||0. superseded|08-18-99|paper cover / stitch|paper|024-005-01203-6|July 1, 1999. Title on reverse side reads: National Park Guide. Features a map of the United States, including Guam, Puerto Rico, and the Virgin Islands, showing the locations of parks, historic sites, and other properties operated by the National Park Se||folder|0-16-059241-0||National Parks, Maps, Outdoor Recreation||Supersedes I 29.9/2:P 21/2/998, S/N 024-005-01186- 2. To be superseded by S/N 024-005-01203-6. NB1273|64.00||Interior Dept., National Park Service|see note||11/16/2000|024-005-01198-6|017BN 102DO 114BL 14|I 29.9/2:P 21/2/999|National Park System Map and Guide|package||5.87|1999: Map, 17x23 in.; folded. Revised ed|
||||||govtprintingoffice||0. out of print GPO|07-22-99|self cover / stitch|paper||WP/98-2. Provides an update on the worldwide HIV/AIDS pandemic. Includes information on the impact of AIDS on mortality and population. Item 0146-F.|||||WP 98 2, HIV AIDS, Human Immunodeficiency Virus, Acquired Immune Deficiency Syndrome, Population Statistics, Mortality||NB1273|6.00||Commerce Dept., Economics and Statistics Administration, Census Bureau and United States Agency for International Development, Center for Population, Health, and Nutrition|discount||8/30/2002|003-024-08840-1|900|C 3.205/3:WP/98-2|HIV/AIDs in the Developing World|each||0.37|1999: 37 p.; ill.|
||||||govtprintingoffice|Schwarz, Charles R.|0. out of print GPO|11-07-90|perfect binding|paper||NOAA Professional Paper NOS 2. Charles R. Schwarz, editor. Describes the third horizontal geodetic datum of continental extent in North America Replaces both the original 'North American Datum' and the 'North American Datum of 1927.'|||0-16-025351-9||NOAA Professional Paper NOS 2, Geodesy, North America, Geophysics, Geology|||23.00||Commerce Dept., NOAA, National Geodetic Survey|discount||10/10/2000|003-021-00054-8|900|C 55.25:2|North American Datum of 1983|each||2.00|1989: 270 p.; ill.|
||||||govtprintingoffice|Snell, Charles W.|1. in stock / whse and/or retail / price|06-27-97|paper cover / stitch|paper||National Park Service Handbook 32.|||0-16-061645-X||National Park Service Handbook 32, New York||OFFERED AT A SPECIAL PRICE OF $378.00 per 100 copies when mailed to one address. There will be no further discount allowed on the per 100 price. NB126|7.50||Interior Dept., National Park Service, Division of Publications|see note||07-03-02|024-005-00956-6|016KF 140PD||Vanderbilt Mansion|each||0.31|1960: 56 p. 1997-repr.|
||||||govtprintingoffice||0. out of print GPO||specialty item|||The DOE SEPE library file contains energy data published in the 'State Energy Price & Expenditure Report, 1970-1989'. To access the bulletin board, call 202-512-1387. For user assistance, call 202-512-1530. Internet access: telnet or FTP to fedbbbs.access||multimedia|||Electronic Products, Federal Bulletin Board (BBS), Energy Statistics, Energy Prices||THE FEDERAL BULLETIN BOARD PRODUCT. File Format: Lotus 123 and dBase. A free README.DOC file contains information on this product, which began in 1992|0.00||Energy Dept. and Government Printing Office|||6/15/2000|021-610-00109-3|900||DOE_SEPE: Department of Energy State Energy Price & Expenditures (Federal Bulletin Board File)|each||2.00||
||||||govtprintingoffice|Kugler, Richard L.|0. out of print GPO|06-15-01|perfect binding|paper||Edited by Richard L. Kugler and Ellen L. Frost. Discusses the phenomenon called globalization, the international interaction of information, financial capital, commerce, technology, and labor. V. 1 examines globalization's impact on world affairs and the|||1-57906-053-6||Globalization and National Security, National Security, Global Budgets, Global Securities Market, Finance, International Finance||NB1284|62.00||Defense Dept., National Defense University, Institute for National Strategic Studies|discount||10/20/2005|008-020-01495-8|153PF||Global Century V. 1-2: Globalization and National Security|set||5.75|2001: 2 bks. (1154 p.).|
||||||govtprintingoffice|Tew, G. L.|0. out of print GPO|03-06-02|paper cover / stitch|paper||NIST Special Publication 260-139. Standard Reference Materials. Documents procedures used in performing the calibrations for standard platinum resistance thermometers and supplemental measurements.|||0-16-066562-0||NIST Special Publication 260 139, Standard Reference Materials, Weights and Measures, Thermometers||NB1289|8.00||Commerce Dept., Technology Administration, National Institute of Standards and Technology, Chemical Science and Technology Laboratory, Process Measurements Division|discount||9/4/2003|003-003-03720-6|900||Standard Reference Material 1750: Standard Platinum Resistance Thermometers, 13.8033 K to 429.7485 K|each||0.37|2001: 54 p.; ill.|
||||||govtprintingoffice||0. out of print GPO||specialty item|||The DOE MER file library contains energy data published in the 'Monthly Energy Review'. To access the bulletin board, call 202-512-1387. For user assistance, call 202-512-1530. Address questions about these files to 202-586-8800. Internet access: telnet o|||||Electronic Products, Federal Bulletin Board (BBS), Energy Statistics||THE FEDERAL BULLETIN BOARD PRODUCT. File Format: ASCII. A free README.DOC file contains information on this product, which began in 1992. Also availab|0.00||Energy Dept., Energy Information Administration; and Government Printing Office|||6/15/2000|021-610-00107-7|900||DOE_MER: Department of Energy Current Monthly Energy Review (Federal Bulletin Board File)|each||2.00||
||||||govtprintingoffice|Katz, Arnold J.|0. out of print GPO|09-29-99|perfect binding|paper||Presents estimates of the stock of privately owned and government-owned durable equipment and structures and of durable goods owned by consumers in the United States. Item 130-D-1. c|||||Capital, Economic Statistics, Wealth||Previous edition, C 59.2:W 37/925-89, S/N 003- 010-00235-2. NB1274|21.00||Commerce Dept., Economics and Statistics Administration, Bureau of Economic Analysis|discount||11/25/2002|003-010-00283-2|900||Fixed Reproducible Tangible Wealth in the United States, 1925-94|each||2.12|1999: 336 p.|
